07 10 00 0256
1 1 1 1 1 1 1 1 1 1 1
00 00 10 01 10 01 22
00 00 01 10 01 10 01
00 00 10 01 10 01 10
00 00 01 10 01 10 01
35 10 10 01 10 01 10
00 00 01 10 01 10 01
00 00 10 01 10 01 10
00 00 01 10 01 10 01
00 00 00 00 10 00 00
00 00 00 00 34 00 00
00 00
00
01
39
06 00
02 00 01
03 00 10
04 00 01
05 00 10
02 01 10
03 01 01
04 01 10
05 01 01
06 01 10
02 02 01
03 02 10
04 02 01
05 02 10
06 02 01
02 03 10
03 03 01
04 03 10
05 03 01
06 03 10
02 04 01
03 04 10
04 04 01
05 04 10
06 04 01
02 05 10
03 05 01
04 05 10
05 05 01
06 05 10
02 06 01
03 06 10
04 06 01
05 06 10
06 06 01
02 07 10
03 07 01
04 07 10
05 07 01
06 07 10
